State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
andhra-pradesh,2018,3,Others,348725,284248675
andhra-pradesh,2023,2,Merchant payments,634303064,3.50E+11
andhra-pradesh,2023,2,Peer-to-peer payments,573455382,2.07E+12
andhra-pradesh,2023,2,Recharge & bill payments,97202487,88352183038
andhra-pradesh,2023,2,Financial Services,316533,386071375
andhra-pradesh,2023,2,Others,379498,409939082
andhra-pradesh,2023,1,Merchant payments,540680395,3.12E+11
andhra-pradesh,2023,1,Peer-to-peer payments,514931308,1.86E+12
andhra-pradesh,2023,1,Recharge & bill payments,89143939,78817989795
andhra-pradesh,2023,1,Financial Services,288150,331233097
andhra-pradesh,2023,1,Others,488672,477193006
andhra-pradesh,2023,3,Merchant payments,750265405,3.95E+11
andhra-pradesh,2023,3,Peer-to-peer payments,623202203,2.16E+12
andhra-pradesh,2023,3,Recharge & bill payments,101000645,94077774967
andhra-pradesh,2023,3,Financial Services,361584,466791218
andhra-pradesh,2023,3,Others,334566,362636702
andhra-pradesh,2021,2,Peer-to-peer payments,189614879,7.37E+11
andhra-pradesh,2021,2,Merchant payments,112875274,88512429436
andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345
andhra-pradesh,2021,2,Financial Services,243237,265483044
andhra-pradesh,2021,2,Others,406842,308302224
andhra-pradesh,2021,1,Peer-to-peer payments,149313738,5.81E+11
andhra-pradesh,2021,1,Merchant payments,97920281,70813192713
andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964
andhra-pradesh,2021,1,Financial Services,225355,270313028
andhra-pradesh,2021,1,Others,347907,272546457
andhra-pradesh,2021,4,Peer-to-peer payments,262006450,9.71E+11
andhra-pradesh,2021,4,Merchant payments,207538904,1.53E+11
andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784713
andhra-pradesh,2021,4,Financial Services,243951,332740108
andhra-pradesh,2021,4,Others,701856,545223415
andhra-pradesh,2021,3,Peer-to-peer payments,221280317,8.38E+11
andhra-pradesh,2021,3,Merchant payments,158290953,1.18E+11
andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958
andhra-pradesh,2021,3,Financial Services,211171,297239697
andhra-pradesh,2021,3,Others,547759,403948275
punjab,2019,2,Peer-to-peer payments,4140474,16258891447
punjab,2019,2,Recharge & bill payments,2815047,1440058991
punjab,2019,2,Merchant payments,1407963,815090878
punjab,2019,2,Financial Services,37435,6876144
punjab,2019,2,Others,108911,93875933
punjab,2019,1,Peer-to-peer payments,4026294,12027441595
punjab,2019,1,Recharge & bill payments,2304690,986004867
punjab,2019,1,Merchant payments,711152,478382600
punjab,2019,1,Financial Services,45621,6871295
punjab,2019,1,Others,84380,75789641
punjab,2019,4,Peer-to-peer payments,6386367,25564144629
punjab,2019,4,Recharge & bill payments,4068332,2622222199
punjab,2019,4,Merchant payments,3122413,1741259163
punjab,2019,4,Financial Services,22956,6382345
punjab,2019,4,Others,98557,55793908
punjab,2019,3,Peer-to-peer payments,4726946,19146726286
punjab,2019,3,Recharge & bill payments,3455594,2481094964
punjab,2019,3,Merchant payments,2374014,1183743251
punjab,2019,3,Financial Services,32359,7912219
punjab,2019,3,Others,117899,86338883
punjab,2022,2,Merchant payments,35941880,28585688543
punjab,2022,2,Peer-to-peer payments,25952349,1.01E+11
punjab,2022,2,Recharge & bill payments,10161030,7652499714
punjab,2022,2,Financial Services,50483,57234782
punjab,2022,2,Others,167081,111934787
